"11349","China","Government of China","135","","ETIM","1156","","1","East Turkestan
","2008","1","0","3","3"
"11350","Bangladesh","Government of Bangladesh","143","","PBCP, PBCP-J","1165, 805","","2","","2005","1","0","3","3"
"11350","Bangladesh","Government of Bangladesh","143","","PBCP-J","1165","","2","","2006","1","0","3","3"
"11447","Ethiopia","Government of Ethiopia","97","","IGLF","1115","","1","Hararghe","1991","1","0","3","4"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","1991","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","1995","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","2000","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","2001","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","2005","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","2006","1","0","3","3"
"11475","Myanmar (Burma)","Government of Myanmar (Burma)","144","","NSCN-K","224","","1","Nagaland","2007","1","0","3","3"
"11487","Malaysia","Government of Malaysia","152","","Sultanate of Sulu","4006","","1","Sabah","2013","1","0","3","3"
"11639","Afghanistan, Pakistan","Government of Afghanistan","130","","Government of Pakistan","142","","1","Durand line","2024","1","0","2","3"
"11884","Hyderabad","Government of Hyderabad","2","","CPI","178","","2","","1947","2","1","3","3"
"11884","Hyderabad","Government of Hyderabad","2","","CPI","178","","2","","1948","2","1","3","3"
"13042","Syria","Government of Syria","118","","PYD","4163","","1","Rojava Kurdistan","2012","1","0","3","2"
"13042","Syria","Government of Syria","118","","PYD","4163","","1","Rojava Kurdistan","2013","1","0","3","2"
"13042","Syria","Government of Syria","118","","PYD","4163","","1","Rojava Kurdistan","2014","1","0","3","2"
"13042","Syria","Government of Syria","118","","PYD","4163","","1","Rojava Kurdistan","2015","1","0","3","2"
"13219","Ukraine","Government of Ukraine","61","","Maidan","5817","","2","","2014","1","0","3","1"
"13243","Russia (Soviet Union), Ukraine","Government of Russia (Soviet Union)","57","","Government of Ukraine","61","","3","Crimea","2022","2","1","2","1"
"13243","Russia (Soviet Union), Ukraine","Government of Russia (Soviet Union)","57","","Government of Ukraine","61","","3","Crimea","2023","2","1","2","1"
"13243","Russia (Soviet Union), Ukraine","Government of Russia (Soviet Union)","57","Government of North Korea","Government of Ukraine","61","","3","Crimea","2024","2","1","2","1"
